Participant,Condition,Knowledge,Time,Summary,Time_Control,Lang,Age,Gender,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6,Ethnicity_6_TEXT,Education,SES,Order
1,1,6,24.808,"The lady wanted to buy an Italian newspaper and her friend told her two places, but only one place actually had them.",0,21,30,2,,,,,1,,,5,9,1
2,1,7,14.482,"In the first story, there was another store involved called PaperWorld.  Bob said PaperWorld, as well as Newstopia, sells Italian newspapers, but was incorrect.  PaperWorld did not sell Italian newspapers.",0,21,25,1,,,,,1,,,4,7,2
3,1,7,1.074,"The differences is that in the first scenario, Bob was wrong in that PaperWorld does NOT sell Italian newspapers whereas in the second scenario, Bob was correct that Newstopia does sell Italian newspapers.",0,21,46,1,,,,,1,,,6,3,2
4,1,6,1.79,The first time the story said the newspaper could be bought at a plavce where it could not be purchased and a place where it could. The second story told a place where the newspaper could be purchased.,0,21,72,1,,,,,1,,,4,6,2
5,1,6,11.489,In first story Bob gace Sue the right information. The second story Bob gave Sue misinformation. ,0,21,58,1,,,,,1,,,6,4,1
6,1,1,6.792,in the first story bob was right about were she can get the newspaper and she found it and the second story how it was different bob was wong,0,21,22,2,1,,,,,,,4,6,2
7,1,7,9.661,"in the first story Bob was wrong about Newstopia, it did not sell italian newspapers. In the second he was correct about  about Newstopia, it DID sell italian newspapers.",0,21,19,1,,,,,,1,arab,4,5,2
8,1,4,3.204,In both scenarios the character was trying to determine where to buy a paper while taking the advice of someone else.,0,21,27,2,,,,,1,,,3,6,2
9,1,6,22.36,"In the first story, Bob told Sue she can buy an Italian newspaper at Newstopia and he was correct. In the second Bob told Sue that she can be an Italian newspaper at Paperworld and Newstopia, but when Sue went to Papworld she found out that they don't sell newspapers.",0,21,25,2,1,,,,,,,5,6,1
10,1,3,6.116,they were similar but she made a few different actions,0,21,30,1,,,,,1,,,2,6,2
11,1,7,1.746,"The difference is there are two stores in the second story. In both stories, Newstopia is recommended to sell Italian newspapers (and does). However, the second store (in the second story) was also recommended to sell Italian newspapers, but it doesn't.",0,21,28,1,,,,,1,,,5,7,1
12,1,7,4.163,Bos misinformed Sue where she could buy an Italian newspaper in the first scenario. He informs her correctly in the second scenario.,0,21,35,2,,,,,1,,,5,5,2
13,1,7,1.664,Sue needed an Italian newspaper and her friend told her where to get one. He was correct about one of the two stores he told her to go.,0,21,36,1,,,,,1,,,2,8,2
14,1,7,9.213,"In one scenario, Sue was given wrong information on where to buy an Italian newspaper.",0,21,21,2,,,,,1,,,2,5,2
15,1,7,8.794,"One sells office supplies like paper, the other sells newspapers.",0,21,24,1,,,,,1,,,2,9,2
16,1,5,8.939,Sue took Bob at his word.,0,21,25,1,1,,,,,,,4,4,1
17,1,7,19.017,Bob told her a second store had Italian newspapers also but it didn't.,1,21,53,2,,,,,1,,,5,4,1
18,1,7,12.87,The first story had Bob being right about all the details while the second story had Bob being half right and half wrong,1,21,29,1,,,,,1,,,5,6,1
19,1,5,27.504,"The first one he told her that she could buy an italian newspaper at a store called Newtopia, the second was about buying a newspaper at Paperworld",1,21,23,2,,,,,1,,,6,4,1
20,1,7,59.506,Bob was incorrect about Paper world. but still correct about newstopia,1,21,21,1,,,,,1,,,4,8,1
21,1,7,16.55,"In one story, Bob told her correct information about one store.  In the second story, Bob gave correct information about one store and incorrect information about a second store.",1,21,23,2,,,,,1,,,5,4,1
22,1,7,15.596,"In the second story, Bob incorrectly mentioned a second store carried the newspaper, but it did not.",1,21,28,2,,,,,1,,,5,5,1
23,1,7,15.643,"The first one, he told her the right place. The second story, he told her 2 places and 1 was wrong.",1,21,20,2,,,,,1,,,3,7,1
24,1,6,18.248,One story has two stores and Bob is wrong about one of them,1,21,32,1,,,,,1,,,6,7,1
25,1,6,27.073,"In the first story, Bob told Sue she could buy newspapers at Newstopia and he was right. In the second story, Bob told Sue she could buy newspapers at Newstopia and PaperWorld but there were no newspapers at PaperWorld.",1,21,21,1,,,1,,,,,4,6,1
26,1,6,33.18,"In the first, Bob is entirely accurate. In the second, half of his statements were incorrect.",1,21,49,1,,,,,1,,,4,8,1
27,1,7,21.381,A friend told a women where she could find an Italian newspaper.,1,21,21,2,,,,,1,,,2,8,1
28,1,3,70.383,"In the first story there was only one store and it did sell Italian newspapers. In the second story there were two stores but only one sold newspapers, but Bob told Sue that both did.",1,21,27,2,,,,,1,,,8,5,1
