Subj,Consent,Condition,Order,Know,Time,Summary,Lang,Age,Gender,Gender_TEXT,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6,Ethnicity_6_TEXT,Education,SES,DO-BR-FL_16,DO-BR-FL_50
1,1,1,1,7,17.1,1st was a sure thing second was 50/50,21,33,1,,,,,,1,,,4,9,FL_50,Base Case|Mixed Case
2,1,1,1,7,44.032,"paperworld was not spoken about in the first story. But the first story she only had one choose and it did sell papers, the biggest      difference is that there was another store added  ",21,39,1,,,,,,1,,,4,6,FL_50,Base Case|Mixed Case
3,1,1,1,7,28.211,"In the second, Sue thought she could buy an Italian newspaper at PaperWorld, but in fact they don't have Italian newspapers.  In both stories she was told she could buy an Italian newspaper at Newstopia, which was true.",21,37,2,,,,,,1,,,8,5,FL_50,Base Case|Mixed Case
4,1,1,1,5,81.655,Sue  is buying an Italian newspaper and needs to find a stand that sells it. Bob knows which stands sell the Italian paper.,21,51,2,,,,,,1,,,2,4,FL_50,Base Case|Mixed Case
5,1,1,1,5,39.167,A woman wants to buy an Italian newspaper. A man told her two stores where she could buy it. He was wrong about one store.,21,47,2,,,,,,1,,,5,8,FL_50,Base Case|Mixed Case
6,1,1,1,7,19.247,one had the newspaper the other didn't just stationary ,21,25,2,,,,,,1,,,4,6,FL_50,Base Case|Mixed Case
7,1,1,1,7,50.703,"The first story asked about the accuracy of the information Sue got from Bob.  And the second one related misinformation supplied by Bob.  The difficulty in answering both questions was whether or not ""knowing"" meant having information, or having proven the accuracy of the information through experience.  In that case, Sue didn't really ""know"" anything. ",21,32,2,,,,,,1,,,5,7,FL_50,Base Case|Mixed Case
8,1,1,1,7,15.174,"one store sold italian newspapers, the other store sold stationery, not newspapers",21,33,2,,,,,,1,,,6,8,FL_50,Base Case|Mixed Case
9,1,1,1,7,47.36,"In the first story, there was only one store and Bob was correct. In the 2nd story, there were 2 stores but Bob was wrong about one and right about the other.",21,30,1,,,,,,1,,,4,6,FL_50,Base Case|Mixed Case
10,1,1,1,5,22.089,The first scenario she needed help in knowing where to buy the paper.,21,45,2,,,,,,1,,,3,6,FL_50,Base Case|Mixed Case
11,1,1,1,6,19.839,the first story bob gave her one location to look for an italian newspaper at (newstopia) and the second story he gave her two locations to choose from (newstopia and paperworld). ,21,34,2,,,,,,1,,,5,5,FL_50,Base Case|Mixed Case
12,1,1,1,7,43.455,The first story only had newstopia the second also had papercity.,21,32,1,,,,,,1,,,4,4,FL_50,Base Case|Mixed Case
13,1,1,1,7,28.72,"The Paper place does sell Itallian paper, but not NEWSpaper.  Newstopia sells Itallian papers as well, but only NEWspaper which is what Susan was referring to when she said 'paper'. ",21,,1,31,,,,,1,,,4,5,FL_50,Base Case|Mixed Case
14,1,1,1,7,28.103,"the first story had one paper store and her frind said it sold italian newspapers,which it did, the second storey had 2 paper stores. her friend told her they sold them in one of the stores but they did not. we don;t know if they sell them in the second store.",21,30,1,,,,,,1,,,4,7,FL_50,Base Case|Mixed Case
15,1,1,1,7,47.19,"bob lied the first time, so when faced with another choice, sue didn't know what to believe or where to go next",21,59,2,,,,,,1,,,2,7,FL_50,Base Case|Mixed Case
16,1,1,1,6,17.746,In one Bob was wrong but provided two stores to buy the newspaper from,21,30,1,,,,,,1,,,5,8,FL_50,Base Case|Mixed Case
17,1,1,1,6,20.956,"The difference was that for the second story, a second possible store was involved, and Bob misinformed Sue. It turns out only one of the stores actually sold what Sue was looking for.",21,24,1,,,,1,,,,,5,5,FL_50,Base Case|Mixed Case
18,1,1,1,7,69.449,"in one, Bob directed Susan to one shop, which sold italian newspapers. In the second, he referred her to two shops, one of which did not sell italian newspapers.",21,45,1,,,,,,1,,,5,6,FL_50,Base Case|Mixed Case
19,1,1,1,6,15.853,setting,21,24,1,,,,,,1,,,5,7,FL_50,Base Case|Mixed Case
20,1,1,1,7,25.442,"In the first story Bob gives her the name of one place she can buy a newspaper, but in the second story he gives her the name of two places and Sue finds out one place doesn't sell the newspaper.",21,67,2,,,,,,1,,,6,4,FL_50,Base Case|Mixed Case
21,1,1,1,7,72.455,"In the first story, Bob gave the correct store (and only the correct store) where Sue can buy an Italian newspaper. In the second story, Bob gave two possible stores where Sue could buy an Italian newspaper (claiming they both sold newspapers), but it turned out he was mistaken and only one of the stores actually sold them.ÿ",21,23,1,,1,,,,,,,4,6,FL_50,Base Case|Mixed Case
22,1,1,1,7,51.958,Sue believes Bob Sue normally very informed and correct.  In one story Bob was informed and correct about where to buy an Italian newspaper but in the other story he was not correct. ,21,42,2,,,,,,1,,,5,6,FL_50,Base Case|Mixed Case
23,1,1,1,7,24.746,"The difference is that in the first story, Bob correctly told Sue where the Italian newspaper was sold whereas the second he did not.",21,21,1,,,,1,,,,,5,8,FL_50,Base Case|Mixed Case
24,1,1,1,7,33.932,One of the storys had how Bob was worng about Paperworld.,21,25,1,,,,,,1,,,4,8,FL_50,Base Case|Mixed Case
25,1,1,1,7,31.714,"In the first sotry, Bob was correct in informing Sue about where to buy Italian newspaper. However, in the second story Bob was partially correctly about where to buy an Italian newspaper.",21,23,1,,,1,,,,,,5,5,FL_50,Base Case|Mixed Case
26,1,1,1,6,24.053,"In the first story, Bob was correct that store sold Italian newspapers.  In the second story, Bob was only half correct about which store sold Italian newspapers.",21,36,1,,1,,,,,,,5,7,FL_50,Base Case|Mixed Case
27,1,1,1,7,39.746,The difference was bobs advice,21,30,1,,,,,,1,,,5,5,FL_50,Base Case|Mixed Case
28,1,1,1,4,7.31,"sue was standing on a street near NEwstopia, her friend Bob told her sh can buy an italian newspaper in this store. Bob was right. In the 2nd story bob was wrong.",22,21,1,,,,,,1,,,5,5,FL_50,Base Case|Mixed Case
29,1,1,1,7,67.426,First storry the girl buys Italian newspaper from the right store after being informed by Bob which store sells them. Second story the girl originally goes to a store that Does not sell Italian News Papers but rather office supplies.,21,29,1,,,,,,1,,,5,5,FL_50,Base Case|Mixed Case
30,1,1,1,6,30.017,"In the first story Sue's friend only references one store with an Italian paper and he is telling the truth.  However, in the second story he references two stores one of which doesn't sell the paper.",21,19,1,,,,,,1,,,4,7,FL_50,Base Case|Mixed Case
31,1,1,1,5,22.221,"In the second story, a second store was introduced that sold stationery, not newspapers.",21,20,1,,,,,,1,,,4,5,FL_50,Base Case|Mixed Case
32,1,1,1,7,30.702,"The first story Bob told her she could get an italian Newspaper at newstopia, The second story bob wrongly told her she can get an italian newspaper at Paperworld",21,27,1,,1,,,,,,,5,6,FL_50,Base Case|Mixed Case
33,1,1,1,7,17.744,"bob told sue that newstopia had italian newspapers in both stories, which was correct. in the second story bob also said paperworld had the italian newspapers but they had no newspapers at all. bob is usually well informed on these things",21,25,1,,,,1,,,,,5,4,FL_50,Base Case|Mixed Case
1,1,2,2,4,18.183,1st was a sure thing second was 50/50,21,33,1,,,,,,1,,,4,9,FL_50,Base Case|Mixed Case
2,1,2,2,4,37.866,"paperworld was not spoken about in the first story. But the first story she only had one choose and it did sell papers, the biggest      difference is that there was another store added  ",21,39,1,,,,,,1,,,4,6,FL_50,Base Case|Mixed Case
3,1,2,2,6,30.106,"In the second, Sue thought she could buy an Italian newspaper at PaperWorld, but in fact they don't have Italian newspapers.  In both stories she was told she could buy an Italian newspaper at Newstopia, which was true.",21,37,2,,,,,,1,,,8,5,FL_50,Base Case|Mixed Case
4,1,2,2,7,8.205,Sue  is buying an Italian newspaper and needs to find a stand that sells it. Bob knows which stands sell the Italian paper.,21,51,2,,,,,,1,,,2,4,FL_50,Base Case|Mixed Case
5,1,2,2,4,25.829,A woman wants to buy an Italian newspaper. A man told her two stores where she could buy it. He was wrong about one store.,21,47,2,,,,,,1,,,5,8,FL_50,Base Case|Mixed Case
6,1,2,2,6,23.619,one had the newspaper the other didn't just stationary ,21,25,2,,,,,,1,,,4,6,FL_50,Base Case|Mixed Case
7,1,2,2,7,23.452,"The first story asked about the accuracy of the information Sue got from Bob.  And the second one related misinformation supplied by Bob.  The difficulty in answering both questions was whether or not ""knowing"" meant having information, or having proven the accuracy of the information through experience.  In that case, Sue didn't really ""know"" anything. ",21,32,2,,,,,,1,,,5,7,FL_50,Base Case|Mixed Case
8,1,2,2,7,23.697,"one store sold italian newspapers, the other store sold stationery, not newspapers",21,33,2,,,,,,1,,,6,8,FL_50,Base Case|Mixed Case
