Consent,Condition,Order,Know,Time,Summary,Lang,Age,Gender,Gender_TEXT,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6,Ethnicity_6_TEXT,Education,SES,DO-BR-FL_16,DO-BR-FL_50
1,3,3,4,41.024,"Sue wanted to buy an Italian Newspaper. Her friend, Bob, told her that she could buy one at Paperworld. Upon entering the shop, Sue discovered that this was a stationery store which did not sell newspapers of any kind, English or Italian.",21,26,2,,,,,,1,,,6,5,Error Case - Negated,
1,3,3,6,44.577,Bob informed Sue that she can buy an Italian newspaper at paperworld,21,45,1,,,,,,1,,,2,8,Error Case - Negated,
1,3,3,6,63.443,"Sue trusts Bob's information regarding a store called Paperworld in his hometown which he knows well.  When Sue took his advice to buy an Italian newspaper at the Paperworld store, she learned Paperworld did not sell newspapers and is a stationary store.",21,49,2,,,,,,1,,,5,5,Error Case - Negated,
1,3,3,7,84.863,"Sue needs to buy an Italian newspaper. She stands on the corner and Bob approaches her and tells her where she can buy an Italian newspaper. Bob is a native, so he usually knows where everything is. But this time he is mistaken: he leads her to a place where there are no Italian newspapers, just stationaries.",21,31,2,,1,,,,,,,6,9,Error Case - Negated,
1,3,3,5,27.459,"Bob told Sue she could buy an Italian newspaper at this place but he did not tell her the correct information. However, Sue believed that Bob had given her the correct information. Also, she was standing at the place.",21,22,2,,,,,,1,,,6,5,Error Case - Negated,
1,3,3,7,49.666,"Sue is visiting Bob, which is from the area. Sue wants to buy an Italian newspaper and Bob told Sue to buy it at Paperworld. But Paperworld doesn't sell Italian newspapers. Now Sue doesnt know where to buy one. ",21,27,2,,,1,,,,,,5,4,Error Case - Negated,
1,3,3,7,23.381,"Sue wanted to buy an Italian newspaper, asked Bob where she could get one. Bob told her Paperworld, but it was the wrong place because it only sold stationary. She trusts Bob, but he made a mistake this time.",21,32,2,,1,1,,,,,,5,9,Error Case - Negated,
1,3,3,3,48.123,"Sue wants to buy an Italian newspaper but doesn't know where to get one. Bob tells her that they have Italian newspapers at Paperworld, although this is not true.",21,61,2,,,,,,1,,,4,4,Error Case - Negated,
1,3,3,6,40.673,"Sue's friend Bob, who she finds trustworthy misinformed her about a nearby store Paperworld selling an Italian newspaper",21,25,1,,,,,,1,,,4,7,Error Case - Negated,
1,3,3,7,75.454,Sue wants to buy an Italian newspaper. Bob suggested she could buy one at Paperwold. Bob was wrong. ,21,45,1,,,,,,1,,,6,4,Error Case - Negated,
1,3,3,7,34.792,Bob told Sue where to buy a newspaper and Bob was wrong,21,20,1,,,,,,1,,,4,7,Error Case - Negated,
1,3,3,7,30.283,"Sue asked bob about paper, bob misinformed her. ",21,31,1,,,,,,1,,,6,4,Error Case - Negated,
1,3,3,7,19.44,"sue trusted her friend when he said he knew where to buy an italian newspaper.  instead bob led her to a place that sells stationery, not newspapers",21,26,2,,,,,,1,,,3,6,Error Case - Negated,
1,3,3,5,5.567,,21,25,1,,1,,,,,,,4,4,Error Case - Negated,
1,3,3,7,32.512,"Susan was told that Paperworld sold Italian newspapers, but in reality they only sell stationary type products.",21,30,1,,,,,,1,,,5,7,Error Case - Negated,
