Subj,Consent,Condition,Order,Know,Time,Summary,Lang,Age,Gender,Gender_TEXT,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6,Ethnicity_6_TEXT,Education,SES,DO.BR.FL_16,DO.BR.FL_50
1,1,3,1,6,44.435,"Sue was told buy a friend that she could get an Italian newpaper at a store called Paperworld, but they don't even sell newspapers",21,37,1,,,,,,1,,,5,4,,
2,1,3,1,7,29.446,"Sue followed Bob's suggestion and went to get an Italian newspaper from Paperworld only to find out Paperworld does not sell newspapers. Bob's normally a good source of information, but not this time.",21,27,2,,,,,,1,,,5,5,,
3,1,3,1,4,55.888,"Sue is standing on the street near a store called Paperworld. Bob tells her she can buy an italian newspaper at Paperworld. Sue believed him. However, Bob was wrong, as Paperworld only sells office supplies. ",21,33,1,,,,1,,,,,5,6,,
4,1,3,1,7,,sue is trying to find a iltalian newspaper her friend bob said she could find it at paperworld but paperworld does not sell newspapers,21,26,1,,,,,,1,,,4,4,,
5,1,3,1,5,46.828,Sue needed to find a newspaper. She asked Bob whom she respected for having all the right answers. However he provided her with incorrect information and this surprised her. He gave her a stationary store as the place to buy a newspaper. She has not found a place to buy a newspaper. ,21,31,1,,,,,,1,,,2,8,,
6,1,3,1,6,47.656,"Sue relied on Bob's advice as to where she could purchase an Italian newspaper.  As Bob is a native of the city and usually well-informed, Sue followed his advice and went to Paperwork.  In actual fact, Paperworld is a stationary store NOT a newsstand. ",21,53,1,,,,,,,,,8,3,,
7,1,3,1,7,81.411,"A friend of Sue, named Bob, informed Sue that she could be an Italian newspaper at a stationary store but he was incorrect. ",21,45,2,,,,,,1,,,5,7,,
8,1,3,1,7,45.929,Sue wants to buy an Italian newspaper.  Her boyfriend said she could get it at a certain store.  He  was wrong - they didn't have it.  She still has to search for the paper somewhere else.,21,73,2,,,,,,1,,,5,6,,
9,1,3,1,5,46.993,Bob told Sue she could buy an Italian newspaper at paperworld but when Sue goes there to dothat she finds out paperworld sells only stationary and does not seel newspapers.,21,51,2,,,,,,1,,,4,9,,
10,1,3,1,6,30.712,Sue has a friend sam that told her that she can buy a newspaper at this place. it turns out that the place sells office supplies and stationery,21,21,2,,,,1,,,,,4,3,,
11,1,3,1,5,31.411,Sue is talking with Bob. She needs a newspaper and Bob told her where to go but he really lied.,21,24,2,,,,,,1,,,5,8,,
12,1,3,1,5,37.467,"SUES FRIEND BOB TOLD HER SHE COULDNT BUY THE ITALIAN PAPER AT THAT STORE, AND SHE BELIEVED HIM",21,27,2,,,,,,1,,,4,4,,
