Subj,Condition,Language,Know,Know_Time,Control_Bob,Control_Sue,Felicity,Fel_Time,Lang,Age,Gender,Gender_TEXT,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6,Ethnicity_6_TEXT,Education,SES
1,3,2,1,34.619,9,10,1,15.832,21,31,1,,,,,,1,,,2,7
2,3,2,1,49.825,10,10,4,22.264,21,27,2,,,,,,1,,,2,6
3,3,2,1,74.488,10,10,1,36.798,21,22,2,,,1,,,,,,4,7
4,3,2,1,63.252,10,10,1,25.978,21,40,2,,,,,,1,,,4,7
5,3,2,1,51.313,10,10,1,21.004,21,38,1,,,,,,1,,,5,6
6,3,2,1,52.412,10,10,1,28.609,21,30,1,,,,,,1,,,5,7
7,3,2,1,92.975,10,10,3,73.997,22,28,2,,,,1,,,,,4,8
8,3,2,2,56.424,10,10,2,16.96,21,22,1,,,,,,1,,,3,6
9,3,2,5,69.728,10,9,3,34.289,21,30,1,,,,,,1,,,5,5
10,3,2,1,68.216,10,10,1,17.45,21,18,2,,,1,,,1,,,2,4
11,3,2,1,35.506,10,10,2,27.879,21,25,2,,,,,,1,,,5,5
12,3,2,1,59.381,10,10,1,21.419,21,22,1,,,,,,1,,,1,7
13,3,2,1,43.993,10,10,1,29.921,21,34,2,,,,,,1,,,5,5
14,3,2,2,43.715,10,10,5,19.101,21,22,1,,,,,,1,,,4,5
15,3,2,4,31.51,10,10,5,19.369,21,27,1,,,,1,,,,,5,8
16,3,2,1,16.878,10,10,1,5.779,21,23,1,,,1,,,,,,2,8
17,3,2,1,23.219,10,10,1,8.755,21,19,1,,,,1,,1,,,4,6
18,3,2,2,51.397,10,10,2,19.073,21,18,1,,1,,1,,,,,4,8
19,3,2,1,46.04,10,10,1,23.822,21,33,1,,,,,,1,,,4,5
20,3,2,4,90.042,10,10,5,27.64,21,28,2,,1,,,,,,,3,6
21,3,2,1,63.94,10,10,1,21.382,21,33,1,,,,,,1,,,4,7
22,3,2,6,5.623,9,9,6,8.923,21,29,1,,,,1,,,,,5,6
23,3,2,5,17.255,10,10,4,62.144,21,22,1,,,,,,1,,,5,3
24,3,2,5,52.884,10,10,1,16.849,21,22,1,,,,1,,,,,4,8
25,3,2,1,61.614,10,10,4,201.913,21,20,1,,,,,,1,,,4,6
26,3,2,1,71.85,10,9,1,213.207,21,55,2,,1,,,,,,,4,7
27,3,2,1,34.897,10,10,2,15.213,21,18,1,,,,,,1,,,4,6
28,3,2,1,45.771,10,10,3,15.776,21,25,1,,,,,,1,,,5,8
29,3,2,3,63.089,10,10,3,25.922,21,27,2,,,,,,1,,,4,7
30,3,2,5,2.415,10,10,5,1.334,21,19,1,,,,,,1,,,4,5
31,3,2,1,67.611,10,10,4,34.418,21,36,1,,,,,,1,,,6,5
32,3,2,1,70.31,10,10,1,13.967,21,27,2,,,,1,,1,,,5,7
33,3,2,2,22.694,10,9,4,9.2,21,23,1,,,,,,1,,,4,5
34,3,2,1,44.894,10,10,1,13.006,21,24,2,,,,1,,,,,4,10
35,3,2,1,50.224,10,10,1,19.313,21,29,1,,,,,,1,,,5,6
36,3,2,1,247.041,10,10,3,36.778,21,26,2,,,1,,,,,,5,3
37,3,2,1,42.674,10,10,2,13.156,21,19,2,,,,1,,,,,4,6
38,3,2,1,50.292,10,10,1,21.088,21,22,1,,,,1,,,,,4,4
39,3,2,1,79.317,10,10,1,37.465,21,25,2,,,,,,1,,,5,8
40,3,2,3,299.767,10,10,1,22.504,21,25,1,,,,,,1,,,5,4
41,3,2,7,31.928,9,9,7,17.242,21,32,2,,,,,,1,,,5,7
42,3,2,3,39.243,10,10,5,21.136,21,26,1,,,,,,1,,,4,8
43,3,2,4,102.226,9,9,6,22.868,21,25,1,,,,,,1,,,2,8
44,2,2,5,102.692,10,10,4,11.244,21,20,1,,,,,,1,,,4,8
45,2,2,7,83.972,10,10,2,35.097,21,47,2,,,,,,1,,,3,4
46,2,2,5,31.211,10,9,5,11.196,21,21,2,,,,1,,,,,4,3
47,2,2,5,32.945,10,9,3,18.093,21,27,1,,,,,,1,,,4,8
48,2,2,7,42.452,10,10,4,21.926,21,20,1,,,,,,,1,South Asian,4,5
49,2,2,3,21.059,10,10,2,10.127,21,33,2,,,,,,1,,,6,7
50,2,2,7,63.087,10,9,1,22.277,21,26,1,,,,,,1,,,4,9
51,2,2,6,2.909,10,10,1,23.179,21,23,2,,,,,,1,,,4,8
52,2,2,7,416.754,9,9,7,37.33,21,33,1,,,,,,1,,,2,10
53,2,2,7,30.655,10,10,1,15.815,21,31,2,,,,,,1,,,5,7
54,2,2,6,24.751,10,9,7,9.861,21,27,1,,,,,,1,,,5,4
55,2,2,5,53.773,10,9,1,7.997,21,20,1,,,,1,,,,,5,6
56,2,2,4,33.083,10,10,2,12.532,21,28,1,,,,,,1,,,5,5
57,2,2,4,44.728,10,10,4,17.89,21,23,2,,,,,,1,,,5,7
58,2,2,7,28.266,10,9,6,11.21,21,29,2,,,,,,1,,,6,7
59,2,2,3,44.065,10,9,4,15.055,21,23,1,,,1,,,,,,2,8
60,2,2,7,28.476,10,10,4,13.557,21,31,1,,,,,,1,,,5,5
61,2,2,5,116.05,10,9,5,56.05,21,33,2,,,,,,1,,,5,6
62,2,2,7,51.361,10,9,7,19.741,21,26,2,,,1,,,,,,5,6
63,2,2,5,40.746,10,9,4,14.73,21,24,2,,,,,,1,,,5,8
64,2,2,7,23.761,10,10,3,10.297,21,25,1,,,,,,1,,,5,6
65,2,2,5,50.996,10,10,4,15.387,21,26,2,,1,,,,,,,5,5
66,2,2,5,54.184,10,9,4,22.237,21,29,1,,,,,,1,,,4,8
67,2,2,5,39.351,10,10,2,18.07,21,25,2,,,,,,1,,,5,3
68,2,2,5,27.532,10,10,4,9.383,21,24,1,,,,,,1,,,5,6
69,2,2,6,50.535,10,10,2,21.701,21,19,1,,,,1,,,,,5,4
70,2,2,7,29.614,10,9,1,13.042,21,41,1,,,,,,1,,,7,3
71,2,2,2,354.631,9,10,4,9.164,21,28,1,,,,,,1,,,4,6
72,2,2,5,39.821,10,10,5,14.967,21,19,1,,,,,,1,,,4,5
73,2,2,6,76.735,10,9,4,59.368,21,18,1,,,,,,1,,,4,3
74,2,2,4,98.011,10,9,1,24.803,21,31,1,,,1,,,,,,4,5
75,2,2,3,23.658,10,9,4,11.408,21,26,1,,,,,,1,,,5,6
76,2,2,4,27.763,10,9,6,21.164,21,20,1,,,,,,1,,,4,5
77,2,2,2,75.657,10,10,4,16.026,21,37,1,,,,,,1,,,5,8
78,2,2,1,56.324,10,10,4,30.888,21,23,2,,,,,,1,,,4,8
79,2,2,1,51.624,10,10,4,17.291,21,31,1,,,,1,,,,,4,3
80,2,2,7,75.309,10,9,1,52.86,21,42,1,,,,,,1,,,2,8
81,2,2,6,51.538,10,10,6,15.959,21,22,1,,,,,,1,,,4,5
82,2,2,7,29.614,10,10,2,9.872,21,28,2,,,,,,1,,,5,8
83,2,2,5,46.767,10,9,6,15.22,21,40,1,,,,,,1,,,5,8
84,2,2,7,57.913,10,9,1,110.693,21,55,2,,,,,,1,,,2,9
85,1,2,5,86.092,10,10,7,20.66,21,34,1,,,,1,,,,,5,6
86,1,2,5,270.586,10,10,6,12.537,,33,1,,,,,,1,,,5,7
87,1,2,7,144.444,10,9,6,40.313,21,62,2,,,,,,1,,,6,5
88,1,2,7,51.138,10,10,1,14.862,21,36,1,,,,,,1,,,2,9
89,1,2,7,58.739,10,10,6,29.056,21,21,1,,,,1,,,,,4,7
90,1,2,7,57.463,10,9,7,25.857,21,43,1,,,,,,1,,,4,7
91,1,2,7,71.272,10,9,7,21.285,21,18,1,,,,1,,,,,2,6
92,1,2,6,64.323,10,9,6,20.253,21,32,2,,,,1,,,,,5,8
93,1,2,6,35.906,10,10,2,18.767,21,31,1,,,,,,1,,,2,9
94,1,2,7,29.784,10,9,1,15.261,21,35,2,,,,,,1,,,3,8
95,1,2,7,42.018,10,10,4,20.695,21,27,1,,,,,,1,,,5,4
96,1,2,7,47.437,9,9,7,23.412,21,37,1,,,,,,1,,,4,4
97,1,2,7,33.776,10,10,2,17.837,21,20,1,,,,,,1,,,4,8
98,1,2,7,18.632,10,9,1,11.554,21,25,1,,,,1,,1,,,4,4
