IPAddress,Consent,Condition,Know,Time,Summary,Lang,Age,Gender,Gender_TEXT,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6,Ethnicity_6_TEXT,Education,SES
12.146.193.2,1,0,1,33.627,"Sue is looking to buy an Italian newpaper, she asks Bob where she can find one.  He tells her of three places that have newspapers.  However, none of them have Italian language newspapers.  Two are stationary stores and the other sells novelities",21,41,1,,,1,,,,,,4,5
66.213.22.193,1,0,2,90.351,"Sue thinks that the 3 stores she is next to sell Italian newspapers because Bob told her they did. But Bob was wrong, 2 of the 3 sell stationary and one sells T-shirts. The store names are misleading.",21,59,1,,,,,,1,,,5,8
69.245.35.82,1,0,2,0,"sue got told a lie about where she can find an italian newspaper. She believes she knows where to find one, but is misinformed. ",21,20,1,,,,,,1,,,4,8
50.129.18.234,1,0,1,21.965,A friend recommended to another friend a place to find something but misinformed.,21,26,1,,,,,,1,,,4,7
12.150.181.20,1,0,1,46.629,Sue was informed by Bob where should buy Italian newspapers but all were incorrect. ,21,40,1,,,,,,1,,,4,8
98.254.3.115,1,0,1,24.429,Bob misinformed Sue of the places she can buy Italian Newspapers,21,18,1,,,1,,,1,,,2,8
76.98.91.219,1,0,1,78.52,Sue is mislead by a friend about what a store sells.,21,37,1,,,,,,1,,,4,8
108.193.223.1,1,0,1,14.547,"Sue wanted to purchase an italian newspaper, asked Bob where to get one and he told her to go to any of the three stores. However,  none of them have it.",21,24,1,,,,1,,,,,4,10
74.192.182.157,1,0,1,104.943,Sue's friend is told misinformation about whether 3 shops in town sell Italian newspapers.,21,23,1,,,,,,1,,,4,6
204.8.187.86,1,0,1,25.085,"Sue wanted to buy an italian paper, bob told her three places she could get one, none of the places had italian papers",21,27,1,,,,,,1,,,4,5
50.81.172.169,1,0,6,122.311,"Sue is near 3 stores. She asks Bob who she always trusts who tells her all 3 stores sell Italian newspapers. However, Bob misinforms her as all 3 stores don't actually sell Italian newspapers.",21,26,1,,,,1,,,,,5,4
12.71.108.206,1,0,1,26.068,Bob misinformed Sue about where to buy an Italian newspaper.,21,45,2,,,,,,1,,,3,6
69.141.131.14,1,0,2,40.966,Sue was told where she can buy Italian newspapers but she was misinformed,21,26,1,,,,1,,,,,5,5
67.189.66.20,1,0,1,35.252,"Sue was told by Bob that she could buy an Italian newspaper at three stores in his city, but it turns out to be untrue. Not only can she noit buy an Italian newspaper, the so-called newspaper stores, don't even sell newspaper at all.",21,27,1,,,,,,1,,,4,5
99.37.68.34,1,0,1,45.513,Sue was misinformed about where she could buy an Italian newspaper.,21,19,1,,,,,,1,,,4,2
173.51.116.177,1,0,3,89.52,"Sue stands near three stores named Paperworld, Cellulose City, and Newstopia.  Her friend, Bob, told her that these stores sell italian newspapers.  However, Bob was wrong and these stores do not sell italian newspapers.",21,22,1,,,,1,,,,,5,5
141.152.50.4,1,0,2,36.145,"Sue seen 3 stores to buy newspapers from. A guy named Bob informs her that the stores offer Italian ones. However, he is incorrect and they do not have newspapers for sale. ",21,22,1,,,,,,1,,,2,7
184.100.217.125,1,0,5,56.005,Her friend fooled her into believing three separate stores sold Italian newspapers.,21,32,1,,,,,1,1,,,3,5
71.87.58.30,1,0,1,37.223,Sue wants to buy an Italian newspaper and Bob tells her three places and none of them have newspapers.,21,67,2,,,,,,1,,,5,5
155.43.52.231,1,0,5,32.504,"Sue is looking to buy papers and she is asking the help of her friend, a native",21,18,1,,,,,,1,,,2,4
24.151.16.23,1,0,5,9.173,she buys italian newspapers. ,21,24,1,,,,,,1,,,5,7
204.111.215.79,1,0,1,31.451,Bob misinformed Sue of where she could purchase a newspaper.,21,21,1,,,,,,1,,,4,4
98.180.53.243,1,0,1,74.049,a new woman in town is misinformed by a local man about the functions of three different stores in her area. ,21,24,1,,,,,,1,,,4,9
134.198.232.189,1,0,1,34.585,Sue was misinformed by her friend that these three stores sold italian newspapers,21,19,1,,,,,,1,,,4,5
155.58.2.158,1,0,1,27.276,"Bob told Sue that three stores sell an Italian newspaper, but none of them do.",21,23,1,,,,,,1,,,5,5
98.19.155.131,1,0,7,36.739,"Sue believed that all three places sell Italian newspapers, but this is not the case because she was misled by her friend.",21,22,1,,,,1,,,,,4,8
208.124.106.154,1,0,1,31.613,"Sue is standing in front of three storesI(I think)  looking for an italian paper. Her friend who usually is trustoworthy and knows all about the town they are in tells her she can find an Italian newspaper at these three different stores. However, he was completerly wrong and none of them sold them. ",21,19,1,,,,,,1,,,4,6
75.110.160.57,1,0,1,31.771,Lady was told she could buy an italian newspaper at three different stores. She cannot buy one at any of the three stores.,21,27,1,,,,,,1,,,5,8
75.163.152.78,1,0,1,44.551,A woman standing by 2 stores is told she can buy italian newspaper there by her good friend. None of them sell the Italian newspaper.,21,29,2,,,,,,1,,,4,7
98.218.165.85,1,0,1,60.971,"Sue's friend said that three shops sell Italian newspapers, but he misinformed her and they don't.",21,29,2,,,,,,1,,,5,7
75.42.66.100,1,0,1,16.919,Sue's friend told her 3 businesses had italian newspapers when they did not.,21,32,1,,,,,,1,,,4,5
107.200.36.12,1,0,2,23.055,"Sue's friend told her she could buy Italian newspapers in any of three shops, but he lied about all of them, since none is a newstand, but two sell stationeyr and on t-shirts.",21,61,2,,,,,,1,,,8,4
74.197.179.235,1,0,5,40.453,"Sue's friend tells her that three stores sell Italian newspapers when in fact, none do.",21,21,2,,,,,,1,,,4,4
68.59.168.146,1,0,1,52.793,Sue wants to buy an Italian newspaper and she asks her friend Bob. Bob gives her the names of 2 stationary stores and a t shirt shop that sells political joke shirts.,21,24,2,,,,,,1,,,5,3
70.177.111.215,1,0,1,10.297,"There are three stores. Bob, a native of the town told Sue that all three sold Italian newspapers, but they do not. ",21,33,2,,,,,,1,,,4,7
71.61.101.179,1,0,1,29.151,"Sue was looking for an Italian newspaper. Her friend Bob, a native of the city, misinformed her that 3 shops nearby did, when actually none of them do.",21,53,2,,,,,,1,,,4,5
69.47.228.88,1,0,1,33.618,sue wants an italian paper. bob told her the wrong places to get one,21,34,2,,,,,,1,,,5,7
68.227.105.122,1,0,1,93.477,"Sue was told three places to go and buy an Italian newspaper by Bob, but none of them actually sell Italian newspapers.",21,27,1,,,,,,1,,,5,6
76.206.40.135,1,0,2,39.449,"Sue is standing near three shops.  Her friend told her they all sell Italian newspapers, but that is not the case.",21,24,1,,,,1,,1,,,5,7
98.91.31.200,1,0,1,33.707,"Sue asked Bob where she could find Italian newspapers.  Bob names three stores.  However, none of the stores sell Italian newspapers.",21,36,1,,1,,,,,,,5,7
170.200.144.11,1,0,1,30.779,"Sue's friend Bob tells her that she can buy Italian newspapers at 3 different stores, but all the stores turn out to not sell them at all.",21,25,1,,,,,,1,,,5,4
107.9.33.168,1,0,1,27.924,sue couldnt find the paper becouse bob told her wrong,21,28,2,,,,,,1,,,4,8
67.223.0.68,1,1,1,24.097,Bob misled Sue on where she can buy and Italian newspaper,21,26,1,,,,,,1,,,4,7
98.253.214.106,1,1,2,51.459,Sue wants to buy an Italian newspaper from one of three stores.  Her freind said all three stores sold this.  Only one actually sold Italian newspapers,21,28,1,,,,,,1,,,5,8
184.57.97.213,1,1,7,35.101,"Bob is a reliable source about newspapers, but he was wrong in this example in telling Susan that she could purchase the paper at all three stores. She was looking for an Italian newspaper, which was only available at one of the three stores.",21,31,2,,,,,,1,,,5,8
69.178.173.250,1,1,3,126.304,Sue is asking Bob where to buy an Italian newspaper.  Bob says she can buy the newspaper at 3 different places.  Bob was incorrect and 1 out of 3 places sold the Italian newspaper.,21,29,1,,,,1,,,,,3,6
108.84.109.95,1,1,5,21.927,"Sue asked Bob where to buy an  Italian newspaper.  Bob told her three options, of which only one was correct.",21,35,1,,,,,,1,,,5,5
96.233.3.189,1,1,1,45.762,"Sue wants to find an Italian newspaper, and Bob tells her the three stores have it - but only one, Newstopia, does, while the others are stationary stores.",21,26,2,,,,,,1,,,4,9
68.168.95.10,1,1,6,22.89,"Her friend told her 3 places that sell newspapers, but really only one of them did. ",21,24,2,,,,,,1,,,5,8
65.15.137.166,1,1,5,40.523,"Bob misinformed Sue about the items that three local stores sell. Only one sells Italian newspapers, the other two sell stationary.",21,27,2,,,,,,1,,,5,5
184.5.19.54,1,1,4,3.817,Sue was standing on the street by three stores looking for a newspaper.,21,19,1,,,,,,1,,,2,6
204.177.185.34,1,1,2,44.183,Sue 's firned bob said 3 stores sell itialian newspapers. He was wrong. Newstopia is the only one that does.,21,25,1,,,,,,1,,,5,7
129.22.194.152,1,1,3,33.782,"Bob told Sue that you can buy italian newspapers from three different shops, but only one of them actually sells italian newspapers.  The other two are stationery shops.  Sue does not realize this and thinks all three sell the newspapers. ",21,30,1,,,,,,1,,,5,7
67.183.186.42,1,1,7,28.285,Sue was misinformed about which stores sell Itialian newspapers.,21,24,1,,,,1,,,,,4,8
75.0.182.58,1,1,1,29.281,Sue asked where to purchase Italian newspapers but Bob provided two false hits. ,21,23,1,,,,1,,,,,5,3
24.73.36.157,1,1,7,48.751,Sue knows about three stores.  Her friend tells her that all three stores sell italian newspapers.  Sue find out her friend was wrong and only one of the stores sells newspapers.,21,28,1,,,,,,1,,,5,6
75.174.77.24,1,1,3,172.588,sue was mislead by bob about a place to buy itallian newspapers,21,28,1,,,,,,1,,,4,8
174.71.75.155,1,1,6,59.161,"Sue is standing on the street near the stores. Her friend Bob is from that city and told her that all three sell Italian newspapers, but only one of them actually sells newspapers. So Sue trusted Bob, but he misinformed her.",21,37,2,,1,,,,,,,5,6
72.230.171.159,1,1,4,25.719,Sue was misinformed by her friend Bob about getting a newspaper from a choice of 3 options,21,25,1,,,,,,1,,,5,7
129.161.91.143,1,1,2,25.678,"There were three stores, and Sue's friend Bob was misinformed about what the three stores sold. Bob was only right about one of the stores.",21,21,1,,,,,,1,,,4,7
71.57.128.131,1,1,2,68.096,Sue's friend misinforms her and tells her that all three of the stores she was interested in sell italian newspapers when in fact only one does.,21,24,1,,,1,,,,,,4,5
161.107.18.136,1,1,4,16.651,bob told sue that three stores sold italian newspapers but only newstopia did,21,25,1,,,,1,,,,,5,5
162.219.41.136,1,1,2,65.153,Sue was misinformed about where to buy a newspaper... only 1 of the 3 stores carried it.,21,34,2,,,,,,1,,,4,8
72.252.221.22,1,1,7,64.725,Sue is on a street near three stores. Bob tells her that all three sell italian newspapers but sue finds that only newstopia does. The other two were stationery shops.,21,27,1,,1,,,,,,,5,7
173.2.252.112,1,1,2,28.97,A woman sees 3 stores. Her friend tells her that all 3 sell newspapers but only 1 of them does. The other 2 sell stationary. ,21,21,2,,,,1,,,,,4,4
71.101.89.22,1,1,2,26.754,Sue was given information she thought was trustworthy but in fact was wrong so now she doesn't know where to get a paper,21,26,1,,,,,,1,,,5,4
66.76.252.30,1,1,1,53.895,"Sue has a friend who told her about two shops that sell Italian newspapers. He's always right. Well, in this case he was wrong. Neither of those stores sold Italian newspapers.",21,38,1,,,,,,1,,,5,4
71.137.244.46,1,1,3,39.998,A native of the city misinforms Sue about where she can buy Italian newspapers.,21,20,1,,,,1,,,,,4,4
132.241.36.219,1,1,5,68.244,Sue is near three stores. Bob told her she can buy italian newspapers at all of them. Bob is only correct about one of the stores selling italian newspapers.,21,24,1,,,,,,1,,,4,8
97.83.6.25,1,1,7,34.078,"Bob told her that all three stores sold newspapers, when only Newstopia did.",21,25,1,,,,,,1,,,2,8
107.220.142.36,1,1,5,31.781,"Sue's friend Bob tells here there are three places, close together, that sell Italian newspapers.  Bob was incorrect only one of the three sells the newspaper.",21,57,2,,,,,,1,,,2,4
